时间2,公司代码,函件类别,公司简称,函件类型,网址,函件编码
2021-07-26 18:10:01,600872,问询函,中炬高新,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142881902368649.pdf,8142881902368649
2021-07-26 17:10:02,600811,重大资产重组预案审核意见函,东方集团,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8142881895334327.pdf,8142881895334327
2021-07-26 17:10:01,600277,问询函,亿利洁能,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142881902318601.pdf,8142881902318601
2021-07-21 22:50:01,603306,问询函,华懋科技,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142820810585438.pdf,8142820810585438
2021-07-21 22:00:01,688096,问询函,京源环保,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142820816935509.pdf,8142820816935509
2021-07-20 17:10:32,600198,重大资产重组预案审核意见函,*ST大唐,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8142820810443601.pdf,8142820810443601
2021-07-19 20:10:01,600766,重大资产重组预案审核意见函,*ST园城,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8142820810412301.pdf,8142820810412301
2021-07-14 08:50:02,600593,问询函,大连圣亚,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142759732868806.pdf,8142759732868806
2021-07-08 19:10:01,600145,问询函,*ST新亿,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142698648375116.pdf,8142698648375116
2021-07-07 19:00:01,600009,重大资产重组预案审核意见函,上海机场,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8142698648290761.pdf,8142698648290761
2021-07-06 17:50:01,600146,问询函,*ST环球,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142698641440466.pdf,8142698641440466
2021-07-06 17:10:01,600593,问询函,大连圣亚,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142698641430477.pdf,8142698641430477
2021-07-05 17:50:01,605169,重大资产重组预案审核意见函,洪通燃气,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8142698648072326.pdf,8142698648072326
2021-07-02 17:40:01,600539,重大资产重组预案审核意见函,狮头股份,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8142637556757110.pdf,8142637556757110
2021-06-23 21:40:01,600774,问询函,汉商集团,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142576477667126.pdf,8142576477667126
2021-06-21 20:20:02,688289,问询函,圣湘生物,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142576477484774.pdf,8142576477484774
2021-06-21 20:20:02,605337,问询函,李子园,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142576477484677.pdf,8142576477484677
2021-06-20 17:10:02,603988,重大资产重组预案审核意见函,中电电机,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8142576477381719.pdf,8142576477381719
2021-06-20 17:10:02,600198,重大资产重组预案审核意见函,*ST大唐,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8142576477381501.pdf,8142576477381501
2021-06-18 17:30:01,600850,重大资产重组预案审核意见函,电科数字,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8142515393027648.pdf,8142515393027648
2021-06-17 17:10:01,600469,重大资产重组预案审核意见函,风神股份,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8142515386450061.pdf,8142515386450061
2021-06-16 18:20:02,600327,重大资产重组预案审核意见函,大东方,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8142515392857190.pdf,8142515392857190
2021-06-14 17:10:01,600751,问询函,海航科技,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142515392683436.pdf,8142515392683436
2021-06-10 23:40:02,600070,问询函,浙江富润,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142454309286912.pdf,8142454309286912
2021-06-10 19:40:02,600664,问询函,哈药股份,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142454302127927.pdf,8142454302127927
2021-06-08 20:00:02,600609,问询函,金杯汽车,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142454301926908.pdf,8142454301926908
2021-06-08 18:20:01,600145,问询函,*ST新亿,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142454309075830.pdf,8142454309075830
2021-06-07 21:20:01,600735,问询函,新华锦,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142454309001091.pdf,8142454309001091
2021-06-04 21:30:01,600382,问询函,*ST广珠,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142410431135185.pdf,8142410431135185
2021-06-04 17:10:29,600739,定期报告信息披露监管问询函,辽宁成大,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8142410431045195.pdf,8142410431045195
2021-06-04 17:10:29,600387,定期报告信息披露监管问询函,ST海越,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8142410430660584.pdf,8142410430660584
2021-06-02 19:30:01,688085,问询函,三友医疗,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142410430543552.pdf,8142410430543552
2021-06-02 17:10:56,600610,重大资产重组预案审核意见函,中毅达,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8142410430890863.pdf,8142410430890863
2021-06-02 17:10:56,600576,重大资产重组预案审核意见函,祥源文化,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8142410430456353.pdf,8142410430456353
2021-06-01 18:30:02,600896,问询函,*ST海医,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142410430438851.pdf,8142410430438851
2021-06-01 18:30:02,603803,定期报告信息披露监管问询函,瑞斯康达,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8142410430438923.pdf,8142410430438923
2021-06-01 08:01:31,688005,问询函,容百科技,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/5478466.pdf,5478466
2021-05-31 19:40:01,600108,定期报告信息披露监管问询函,亚盛集团,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8142400523980041.pdf,8142400523980041
2021-05-31 19:15:43,600146,定期报告信息披露监管问询函,*ST环球,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/c/5478461.pdf,5478461
2021-05-28 19:50:01,600393,定期报告信息披露监管问询函,ST粤泰,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8142332132791821.pdf,8142332132791821
2021-05-28 18:50:03,600738,问询函,丽尚国潮,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142332132784759.pdf,8142332132784759
2021-05-28 18:50:02,603557,定期报告信息披露监管问询函,ST起步,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8142332132784613.pdf,8142332132784613
2021-05-28 17:50:02,603007,定期报告信息披露监管问询函,ST花王,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8142332138713330.pdf,8142332138713330
2021-05-28 17:50:02,600586,定期报告信息披露监管问询函,金晶科技,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8142332138712821.pdf,8142332138712821
2021-05-28 17:10:01,603729,定期报告信息披露监管问询函,ST龙韵,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8142332132706250.pdf,8142332132706250
2021-05-27 17:10:28,600589,定期报告信息披露监管问询函,ST榕泰,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8142332132636042.pdf,8142332132636042
2021-05-27 19:36:06,600083,定期报告信息披露监管问询函,*ST博信,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/5475035.pdf,5475035
2021-05-26 21:10:01,600145,问询函,*ST新亿,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142332132597597.pdf,8142332132597597
2021-05-26 17:40:29,603508,定期报告信息披露监管问询函,思维列控,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8142332138526125.pdf,8142332138526125
2021-05-27 09:32:48,603900,定期报告信息披露监管问询函,莱绅通灵,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/5473775.pdf,5473775
2021-05-25 20:30:01,600382,定期报告信息披露监管问询函,*ST广珠,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8142332132444554.pdf,8142332132444554
2021-05-25 19:20:01,603799,问询函,华友钴业,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142332132508227.pdf,8142332132508227
2021-05-25 17:40:01,603998,问询函,方盛制药,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8142332132490333.pdf,8142332132490333
2021-05-25 17:10:01,600165,定期报告信息披露监管问询函,新日恒力,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8142332132444833.pdf,8142332132444833
2021-05-24 19:40:01,603725,重大资产重组预案审核意见函,天安新材,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8142332138377016.pdf,8142332138377016
2021-05-24 17:10:02,600198,重大资产重组预案审核意见函,*ST大唐,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8142332138328076.pdf,8142332138328076
2021-05-24 17:10:06,600145,定期报告信息披露监管问询函,*ST新亿,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8142332138312295.pdf,8142332138312295
2021-05-24 17:10:06,600771,定期报告信息披露监管问询函,广誉远,pdf,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8142332132342451.pdf,8142332132342451
