,words,rate
0,项目,11.274937048329019
1,内容,10.000133171593648
2,投项,9.75732628446497
3,失败率,7.955167022579014
4,产量,7.9108111363713896
5,油价,7.678553774249034
6,流动资金,7.653220966552064
7,股权融资,6.8930325785874125
8,哈萨克斯坦证券交易所,6.89278297568172
9,漏损,6.892444439924856
10,能源行业,6.8900827285319775
11,修改版,6.889690712407598
12,江苏汇金控股集团有限公司,6.8877322068621005
13,咨询服务,6.8874580370238805
14,布伦特原油,6.887205782987207
15,山西广和山水文化传播股份有限公司,6.883080020343288
16,媒体报道,6.63476892962385
17,战神,6.4548210122145715
18,目目,6.293249316268173
19,集资,6.23718445806926
