,函件编码,主题
0,8142881902368649,4
1,8142881895334327,4
2,8142881902318601,4
3,8142820810585438,4
4,8142820816935509,4
5,8142820810443601,4
6,8142820810412301,4
7,8142759732868806,0
8,8142698648375116,4
9,8142698648290761,4
10,8142698641440466,4
11,8142698641430477,3
12,8142698648072326,4
13,8142637556757110,4
14,8142576477667126,2
15,8142576477484774,4
16,8142576477484677,2
17,8142576477381719,4
18,8142576477381501,4
19,8142515393027648,4
20,8142515386450061,4
21,8142515392857190,4
22,8142515392683436,4
23,8142454309286912,0
24,8142454302127927,4
25,8142454301926908,4
26,8142454309075830,4
27,8142454309001091,4
28,8142410431135185,4
29,8142410431045195,4
30,8142410430660584,4
31,8142410430543552,4
32,8142410430890863,4
33,8142410430456353,4
34,8142410430438851,4
35,8142410430438923,4
36,5478466,2
37,8142400523980041,4
38,5478461,4
39,8142332132791821,4
40,8142332132784759,4
41,8142332132784613,4
42,8142332138713330,4
43,8142332138712821,4
44,8142332132706250,4
45,8142332132636042,4
46,5475035,4
47,8142332132597597,4
48,8142332138526125,4
49,5473775,4
50,8142332132444554,4
51,8142332132508227,4
52,8142332132490333,4
53,8142332132444833,4
54,8142332138377016,4
55,8142332138328076,4
56,8142332138312295,4
57,8142332132342451,4
58,8142313591251733,4
59,8142313589929442,4
60,8142276078444091,4
61,8142276078444293,4
62,8142276092980976,4
63,8142276092973961,4
64,8142276092876206,4
65,8142276092805133,4
66,8142209969250187,4
67,8142209963008009,4
68,8142209969202904,4
69,8142209962919249,4
70,8142209962749165,4
71,8142209968828362,4
72,8142161340082024,4
73,8142161339987103,4
74,8142087800013334,1
75,8142087793809845,4
76,8142087793807417,0
77,8142087793798797,4
78,8142087799920995,4
79,8142087793788577,4
80,8142087793769989,4
81,8142087793768751,4
82,8142087793763833,4
83,8142087799705055,4
84,8142087793341317,4
85,8142087799199046,4
86,8142058939310244,4
87,8142043695506841,4
88,8142043695395215,4
89,8142058939064288,4
90,8142043695274990,4
91,8142043695195557,4
92,8142043696944107,4
93,8141965623533531,4
94,8141904539073799,4
95,8141904539036249,4
96,8141904538972407,4
97,8141904538902617,4
98,8141843454771912,4
99,8141843460976530,4
100,8141843454638322,4
101,8141782375514108,4
102,8141782369188521,4
103,8141782369188131,4
104,8141782375169208,4
105,8141782369103746,4
106,8141782375083048,4
107,8141721291371281,4
108,8141721291364034,2
109,8141721291208374,4
110,8141721291197431,4
111,8141538035951197,4
112,8141415860118953,4
113,8141415866470321,4
114,8141415866434554,4
115,8141415860078415,4
116,8141415860035108,3
117,8141415860035264,3
118,8141415866371919,4
119,8141354775953634,4
120,8141354775796080,0
121,8141293690765241,4
122,8141293690764865,4
123,8141293690759466,4
124,8141293697102738,4
125,8141293697100599,4
